AttendanceID,EnrollmentID,ClassDate,Status,Notes
11101,741,2024-09-01,Present,
11102,741,2024-09-08,Absent,Leave development investment prove organization future.
11103,741,2024-09-15,Present,
11104,741,2024-09-22,Present,
11105,741,2024-09-29,Late,Mouth daughter family decision.
11106,741,2024-10-06,Present,
11107,741,2024-10-13,Present,
11108,741,2024-10-20,Present,
11109,741,2024-10-27,Present,
11110,741,2024-11-03,Present,
11111,741,2024-11-10,Absent,Plant challenge fire model bit.
11112,741,2024-11-17,Absent,Authority yes cell argue tough stage important.
11113,741,2024-11-24,Absent,Cut clearly effect arm condition.
11114,741,2024-12-01,Absent,Black language I particular six ability education.
11115,741,2024-12-08,Present,
11116,742,2024-09-01,Late,Example affect yet opportunity maintain reality trade.
11117,742,2024-09-08,Absent,Majority machine while far positive it eye.
11118,742,2024-09-15,Absent,Always hundred able like wear letter dog.
11119,742,2024-09-22,Present,
11120,742,2024-09-29,Present,
11121,742,2024-10-06,Present,
11122,742,2024-10-13,Absent,Upon economic personal indeed glass.
11123,742,2024-10-20,Absent,Age return keep detail.
11124,742,2024-10-27,Present,
11125,742,2024-11-03,Absent,Toward cause view step available continue.
11126,742,2024-11-10,Absent,First same ever standard.
11127,742,2024-11-17,Absent,We step new.
11128,742,2024-11-24,Late,Stand now population form sister war player economic.
11129,742,2024-12-01,Absent,Respond check military say quality find.
11130,742,2024-12-08,Present,
11131,743,2024-09-01,Late,Collection necessary lose general civil bad detail.
11132,743,2024-09-08,Present,
11133,743,2024-09-15,Excused,Far bit state attention away certainly.
11134,743,2024-09-22,Present,
11135,743,2024-09-29,Late,Energy marriage shoulder whether.
11136,743,2024-10-06,Present,
11137,743,2024-10-13,Late,Nature free woman southern perform machine.
11138,743,2024-10-20,Absent,Perform run simply.
11139,743,2024-10-27,Late,We audience art current course.
11140,743,2024-11-03,Present,
11141,743,2024-11-10,Absent,Report sing go song current name understand.
11142,743,2024-11-17,Present,
11143,743,2024-11-24,Present,
11144,743,2024-12-01,Present,
11145,743,2024-12-08,Absent,Data example meet bit attention seek.
11146,744,2024-09-01,Absent,Thank town surface drive enough must yes.
11147,744,2024-09-08,Present,
11148,744,2024-09-15,Present,
11149,744,2024-09-22,Present,
11150,744,2024-09-29,Absent,Particularly girl lawyer.
11151,744,2024-10-06,Present,
11152,744,2024-10-13,Present,
11153,744,2024-10-20,Late,Leave part certain car security all big.
11154,744,2024-10-27,Present,
11155,744,2024-11-03,Present,
11156,744,2024-11-10,Present,
11157,744,2024-11-17,Present,
11158,744,2024-11-24,Excused,Happy usually federal both street.
11159,744,2024-12-01,Present,
11160,744,2024-12-08,Late,Field space capital even.
18946,1264,2024-09-01,Present,
18947,1264,2024-09-08,Present,
18948,1264,2024-09-15,Present,
18949,1264,2024-09-22,Present,
18950,1264,2024-09-29,Present,
18951,1264,2024-10-06,Present,
18952,1264,2024-10-13,Present,
18953,1264,2024-10-20,Present,
18954,1264,2024-10-27,Present,
18955,1264,2024-11-03,Present,
18956,1264,2024-11-10,Present,
18957,1264,2024-11-17,Present,
18958,1264,2024-11-24,Present,
18959,1264,2024-12-01,Present,
18960,1264,2024-12-08,Present,
18961,1265,2024-09-01,Present,
18962,1265,2024-09-08,Present,
18963,1265,2024-09-15,Present,
18964,1265,2024-09-22,Present,
18965,1265,2024-09-29,Present,
18966,1265,2024-10-06,Present,
18967,1265,2024-10-13,Present,
18968,1265,2024-10-20,Present,
18969,1265,2024-10-27,Present,
18970,1265,2024-11-03,Present,
18971,1265,2024-11-10,Present,
18972,1265,2024-11-17,Present,
18973,1265,2024-11-24,Present,
18974,1265,2024-12-01,Present,
18975,1265,2024-12-08,Present,
18976,1266,2024-09-01,Present,
18977,1266,2024-09-08,Present,
18978,1266,2024-09-15,Absent,Attention argue charge someone.
18979,1266,2024-09-22,Absent,Mr mother them if.
18980,1266,2024-09-29,Present,
18981,1266,2024-10-06,Present,
18982,1266,2024-10-13,Present,
18983,1266,2024-10-20,Present,
18984,1266,2024-10-27,Present,
18985,1266,2024-11-03,Present,
18986,1266,2024-11-10,Present,
18987,1266,2024-11-17,Absent,Sport sound decide section floor.
18988,1266,2024-11-24,Present,
