CourseID,CourseCode,CourseName,CourseDescription,CreditHours,Level,DepartmentID
1,CS100,Special Topics in Computer Science,Example guy paper look.,3,Graduate,1
2,MATH101,Introduction to Mathematics,Career son half mouth. Plant figure single also. Game recently eight old spend call.,3,Introductory,2
3,ENG102,Intermediate English,Local appear oil why. Recently economic sport candidate. I be yard she test law car behind.,3,Introductory,3
4,BIO103,Theoretical Biology,Mention bag much day. Staff cover after authority small call believe.,4,Advanced,4
5,BUS104,Advanced Business,Media buy bank animal water.,4,Advanced,5
6,PSYCH105,Special Topics in Psychology,Black middle now child house director recent. Couple describe seven kind.,3,Introductory,6
7,HIST106,Advanced History,Stay employee usually begin. Force what test specific most effect available.,3,Intermediate,7
8,CHEM107,Advanced Chemistry,Lay product rather themselves price tend sign. Economy person itself item stand.,3,Introductory,8
9,PHYS108,Applied Physics,Probably fear shoulder commercial worry street walk.,3,Intermediate,9
10,ECON109,Advanced Economics,Second pass mouth agree decision discuss gas.,3,Introductory,10
11,CS110,Theoretical Computer Science,Your rock again hundred offer. Car standard oil wind. Program affect to week item.,4,Graduate,1
12,MATH111,Special Topics in Mathematics,Perhaps without deep sure hospital always set. Radio authority western put others.,4,Graduate,2
13,ENG112,Intermediate English,Run need be town huge. Course couple property note young half.,4,Advanced,3
14,BIO113,Theoretical Biology,"Remember lawyer perform ready.
Three ever doctor turn cup lose. Radio fund billion catch.",4,Advanced,4
15,BUS114,Theoretical Business,Amount cultural whether attention. Street affect court behind city.,3,Graduate,5
16,PSYCH115,Theoretical Psychology,Baby you offer. Ground by development forget ahead deal field employee.,4,Advanced,6
18,CHEM117,Special Topics in Chemistry,Eye pass onto point security rise help. Edge look significant quality.,3,Graduate,8
19,PHYS118,Intermediate Physics,Trouble send always establish. Next we house about.,4,Introductory,9
20,ECON119,Theoretical Economics,Member research heart year parent method. Measure trouble west lawyer hear.,4,Introductory,10
21,CS120,Introduction to Computer Science,Building live adult toward. Budget speak baby.,3,Intermediate,1
22,MATH121,Advanced Mathematics,Organization office walk until. Win prove recently time. Fill speech class nearly think.,4,Introductory,2
23,ENG122,Applied English,Others firm join process approach line not fine. Director work among where.,3,Intermediate,3
24,BIO123,Theoretical Biology,Window himself single front become operation meeting. Prevent serve lose save better.,4,Graduate,4
25,BUS124,Introduction to Business,Look pay read rest hold carry. Movie relationship avoid ever wife idea.,4,Introductory,5
