GradeEventID,EnrollmentID,AssignmentType,AssignmentName,PointsEarned,PointsPossible,SubmissionDate,IsOnTime,GradePercentage
5787,741,Project,none,78.0,100,2025-11-06 16:41:00.181503,False,78.0
5788,741,Quiz,south,42.86,100,2025-11-06 16:41:00.181503,True,42.86
5789,741,Quiz,machine,2.22,100,2025-11-06 16:41:00.181503,True,2.22
5790,741,Homework,security,56.27,100,2025-11-06 16:41:00.181503,True,56.27
5791,741,Quiz,stock,58.88,100,2025-11-06 16:41:00.181503,True,58.88
5792,741,Project,cup,83.73,100,2025-11-06 16:41:00.181503,True,83.73
5793,741,Quiz,remember,53.22,100,2025-11-06 16:41:00.181503,True,53.22
5794,741,Quiz,too,74.47,100,2025-11-06 16:41:00.181503,True,74.47
5795,741,Homework,whose,62.74,100,2025-11-06 16:41:00.181503,False,62.74
5796,741,Midterm,send,62.24,100,2025-11-06 16:41:00.182503,True,62.24
5797,741,Midterm,himself,93.57,100,2025-11-06 16:41:00.182503,True,93.57
5798,742,Midterm,firm,51.39,100,2025-11-06 16:41:00.182503,True,51.39
5799,742,Quiz,spring,57.61,100,2025-11-06 16:41:00.182503,True,57.61
5800,742,FinalExam,result,77.35,100,2025-11-06 16:41:00.182503,True,77.35
5801,742,FinalExam,scientist,54.2,100,2025-11-06 16:41:00.182503,False,54.2
5802,742,Quiz,piece,54.65,100,2025-11-06 16:41:00.182503,True,54.65
5803,742,Homework,professional,67.13,100,2025-11-06 16:41:00.182503,True,67.13
5804,743,FinalExam,result,53.81,100,2025-11-06 16:41:00.182503,True,53.81
5805,743,FinalExam,appear,80.12,100,2025-11-06 16:41:00.183504,True,80.12
5806,743,Midterm,amount,43.71,100,2025-11-06 16:41:00.183504,True,43.71
5807,743,Project,itself,45.81,100,2025-11-06 16:41:00.183504,True,45.81
5808,743,Project,including,65.26,100,2025-11-06 16:41:00.183504,True,65.26
5809,743,Midterm,ready,76.1,100,2025-11-06 16:41:00.183504,True,76.1
5810,743,Project,bar,48.82,100,2025-11-06 16:41:00.183504,True,48.82
5811,743,Quiz,pressure,40.14,100,2025-11-06 16:41:00.183504,True,40.14
5812,743,Midterm,city,55.63,100,2025-11-06 16:41:00.183504,True,55.63
5813,743,FinalExam,north,61.76,100,2025-11-06 16:41:00.183504,False,61.76
5814,743,Midterm,window,74.92,100,2025-11-06 16:41:00.183504,True,74.92
5815,744,FinalExam,follow,53.41,100,2025-11-06 16:41:00.183504,True,53.41
5816,744,FinalExam,personal,55.75,100,2025-11-06 16:41:00.183504,True,55.75
5817,744,Project,analysis,59.4,100,2025-11-06 16:41:00.183504,True,59.4
