LoginID,StudentID,EnrollmentID,LoginTimestamp,LogoutTimestamp,SessionDurationMinutes,ActivityType
59893,148,741,2024-09-06 22:00:00,2024-09-06 22:48:00,48,ViewGrades
59894,148,741,2024-11-10 06:00:00,2024-11-10 07:33:00,93,ViewGrades
59895,148,741,2024-11-10 08:00:00,2024-11-10 09:28:00,88,ViewGrades
59896,148,741,2024-09-23 16:00:00,2024-09-23 17:51:00,111,Discussion
59897,148,741,2024-11-14 23:00:00,2024-11-15 01:49:00,169,Other
59898,148,741,2024-11-29 23:00:00,2024-11-30 00:40:00,100,SubmitAssignment
59899,148,741,2024-10-17 11:00:00,2024-10-17 12:00:00,60,Other
59900,148,741,2024-09-03 17:00:00,2024-09-03 19:36:00,156,ViewLectures
59901,148,741,2024-12-05 10:00:00,2024-12-05 11:38:00,98,ViewGrades
59902,148,741,2024-09-27 23:00:00,2024-09-28 01:14:00,134,Other
59903,148,741,2024-11-24 22:00:00,2024-11-24 22:32:00,32,SubmitAssignment
59904,148,741,2024-12-13 09:00:00,2024-12-13 11:14:00,134,Other
59905,148,741,2024-09-16 06:00:00,2024-09-16 07:47:00,107,ViewGrades
59906,148,741,2024-11-25 20:00:00,2024-11-25 20:49:00,49,SubmitAssignment
59907,148,741,2024-09-30 11:00:00,2024-09-30 13:20:00,140,SubmitAssignment
59908,148,741,2024-11-15 14:00:00,2024-11-15 15:30:00,90,ViewGrades
59909,148,741,2024-11-15 05:00:00,2024-11-15 07:10:00,130,Other
59910,148,741,2024-10-24 06:00:00,2024-10-24 07:41:00,101,Discussion
59911,148,741,2024-10-21 03:00:00,2024-10-21 03:26:00,26,ViewLectures
59912,148,741,2024-12-05 00:00:00,2024-12-05 01:58:00,118,Other
59913,148,741,2024-12-12 05:00:00,2024-12-12 06:40:00,100,Discussion
59914,148,741,2024-09-23 03:00:00,2024-09-23 03:44:00,44,Other
59915,148,741,2024-09-18 21:00:00,2024-09-18 22:45:00,105,ViewLectures
59916,148,741,2024-09-20 14:00:00,2024-09-20 16:10:00,130,SubmitAssignment
59917,148,741,2024-10-02 09:00:00,2024-10-02 09:53:00,53,Discussion
59918,148,741,2024-12-09 13:00:00,2024-12-09 13:17:00,17,ViewLectures
59919,148,742,2024-11-18 10:00:00,2024-11-18 10:38:00,38,ViewGrades
