PaymentID,StudentID,TermID,AmountOwed,AmountPaid,Balance,HasHold,HoldReason,DueDate,PaymentDate,FinancialAidAmount
2353,148,1,19096.69,3314.16,15782.53,True,Tree visit without population.,2021-01-01,2025-11-06,2094.75
2354,148,2,15034.67,5013.81,10020.85,False,,2021-05-01,2025-11-06,5603.37
2355,148,3,34397.16,3794.13,30603.03,True,Tree color western prepare strong.,2021-08-01,2025-11-06,2946.92
2356,148,4,22796.45,2098.03,20698.42,False,,2021-12-01,2025-11-06,3752.07
2357,148,5,31267.13,17384.16,13882.97,False,,2022-01-01,2025-11-06,3075.12
2358,148,6,15124.15,2419.85,12704.31,False,,2022-05-01,2025-11-06,6152.95
2359,148,7,22103.56,1926.9,20176.66,True,Throughout land on leader media.,2022-08-01,2025-11-06,2374.93
2360,148,8,21592.07,2330.41,19261.66,True,Interview imagine individual maybe here race no.,2022-12-01,2025-11-06,2869.76
2361,148,9,32402.5,10193.95,22208.54,True,During plan local series expert.,2023-01-01,2025-11-06,4717.76
2362,148,10,21335.99,11472.92,9863.07,True,Economy practice star machine heavy think.,2023-05-01,2025-11-06,6250.44
2363,148,11,30735.56,13049.7,17685.87,True,Animal just pressure remain space just gun.,2023-08-01,2025-11-06,4400.53
2364,148,12,34312.17,7520.53,26791.64,True,Foreign religious free value.,2023-12-01,2025-11-06,3624.36
2365,148,13,19058.33,11291.14,7767.19,True,Tax free but itself of enough.,2024-01-01,2025-11-06,5363.82
2366,148,14,28611.31,11390.89,17220.41,True,Large strong fund sea under watch.,2024-05-01,2025-11-06,3118.48
2367,148,15,23197.09,5827.08,17370.01,True,Heart hold vote suggest himself hot.,2024-08-01,2025-11-06,5718.78
2368,148,16,15928.89,1072.58,14856.31,True,Hard that respond drug let Mr.,2024-12-01,2025-11-06,5481.78
3985,250,1,25144.3,24238.45,905.85,False,,2021-01-01,2025-11-06,14796.07
3986,250,2,23914.42,23478.92,435.5,False,,2021-05-01,2025-11-06,9719.46
3987,250,3,31709.83,32632.48,0.0,False,,2021-08-01,2025-11-06,8089.6
3988,250,4,26844.76,25868.9,975.86,False,,2021-12-01,2025-11-06,11630.55
3989,250,5,15308.5,15428.94,0.0,False,,2022-01-01,2025-11-06,14806.77
3990,250,6,28984.35,28122.68,861.67,False,,2022-05-01,2025-11-06,4649.74
3991,250,7,31776.27,30228.08,1548.19,False,,2022-08-01,2025-11-06,5679.98
3992,250,8,15997.37,16373.8,0.0,False,,2022-12-01,2025-11-06,7360.3
3993,250,9,30460.75,29971.49,489.26,False,,2023-01-01,2025-11-06,9517.12
3994,250,10,18217.88,17794.72,423.16,False,,2023-05-01,2025-11-06,5940.38
3995,250,11,16972.36,17314.51,0.0,False,,2023-08-01,2025-11-06,10061.42
3996,250,12,23714.1,23014.83,699.28,False,,2023-12-01,2025-11-06,7114.71
3997,250,13,30086.24,29184.76,901.47,False,,2024-01-01,2025-11-06,8061.13
3998,250,14,23628.78,23191.56,437.21,False,,2024-05-01,2025-11-06,9997.74
3999,250,15,32590.89,32445.72,145.17,False,,2024-08-01,2025-11-06,13262.88
4000,250,16,34594.05,34948.55,0.0,False,,2024-12-01,2025-11-06,12480.71
6001,376,1,22281.33,23252.96,0.0,False,,2021-01-01,2025-11-06,5314.25
6002,376,2,19773.02,20485.01,0.0,False,,2021-05-01,2025-11-06,3704.2
6003,376,3,17310.62,18136.0,0.0,False,,2021-08-01,2025-11-06,1242.32
6004,376,4,16507.58,16286.2,221.38,False,,2021-12-01,2025-11-06,6208.98
6005,376,5,30662.03,31135.91,0.0,False,,2022-01-01,2025-11-06,4607.11
6006,376,6,25259.95,25985.54,0.0,False,,2022-05-01,2025-11-06,6944.92
6007,376,7,21362.63,21776.87,0.0,False,,2022-08-01,2025-11-06,7231.46
6008,376,8,15210.3,15297.21,0.0,False,,2022-12-01,2025-11-06,6382.02
6009,376,9,27323.29,26450.32,872.96,False,,2023-01-01,2025-11-06,7661.29
6010,376,10,25221.58,25398.34,0.0,False,,2023-05-01,2025-11-06,4990.58
6011,376,11,25989.02,24708.94,1280.08,False,,2023-08-01,2025-11-06,1291.52
6012,376,12,32840.13,34194.34,0.0,False,,2023-12-01,2025-11-06,7223.16
6013,376,13,23216.56,23218.03,0.0,False,,2024-01-01,2025-11-06,5722.45
6014,376,14,19809.23,19660.57,148.65,False,,2024-05-01,2025-11-06,5778.46
6015,376,15,32489.06,33362.58,0.0,False,,2024-08-01,2025-11-06,7728.72
6016,376,16,22541.1,22082.33,458.77,False,,2024-12-01,2025-11-06,7923.82
6673,418,1,26205.26,26504.93,0.0,False,,2021-01-01,2025-11-06,5176.47
6674,418,2,30427.8,31155.33,0.0,False,,2021-05-01,2025-11-06,9731.08
6675,418,3,16699.07,16069.14,629.92,False,,2021-08-01,2025-11-06,4079.36
6676,418,4,24805.28,24714.71,90.57,False,,2021-12-01,2025-11-06,12266.12
6677,418,5,22390.71,22477.59,0.0,False,,2022-01-01,2025-11-06,5701.06
6678,418,6,22361.18,22237.17,124.0,False,,2022-05-01,2025-11-06,3581.53
6679,418,7,32479.42,32954.18,0.0,False,,2022-08-01,2025-11-06,12643.22
6680,418,8,33010.47,32995.83,14.65,False,,2022-12-01,2025-11-06,8589.46
6681,418,9,22428.67,21545.63,883.04,False,,2023-01-01,2025-11-06,8725.23
6682,418,10,18871.07,17954.12,916.96,False,,2023-05-01,2025-11-06,9488.96
6683,418,11,32381.65,33946.73,0.0,False,,2023-08-01,2025-11-06,7418.14
6684,418,12,19022.62,18521.74,500.88,False,,2023-12-01,2025-11-06,6547.54
6685,418,13,22768.1,23729.48,0.0,False,,2024-01-01,2025-11-06,12729.97
6686,418,14,25605.61,26824.24,0.0,False,,2024-05-01,2025-11-06,10840.09
6687,418,15,32746.99,32012.11,734.88,False,,2024-08-01,2025-11-06,11920.83
6688,418,16,15770.49,15726.45,44.04,False,,2024-12-01,2025-11-06,3095.29
6817,427,1,29099.93,30384.85,0.0,False,,2021-01-01,2025-11-06,14339.74
6818,427,2,31781.02,30346.5,1434.51,False,,2021-05-01,2025-11-06,7716.63
6819,427,3,22637.83,23007.01,0.0,False,,2021-08-01,2025-11-06,7426.98
6820,427,4,24969.5,26201.05,0.0,False,,2021-12-01,2025-11-06,8834.31
6821,427,5,22432.14,21759.43,672.71,False,,2022-01-01,2025-11-06,4969.6
6822,427,6,26007.97,26331.1,0.0,False,,2022-05-01,2025-11-06,14893.75
6823,427,7,23734.16,23906.48,0.0,False,,2022-08-01,2025-11-06,13161.28
6824,427,8,28127.71,27483.3,644.41,False,,2022-12-01,2025-11-06,11430.07
6825,427,9,33744.39,32616.16,1128.22,False,,2023-01-01,2025-11-06,5310.18
6826,427,10,16879.91,16770.71,109.2,False,,2023-05-01,2025-11-06,12947.73
